Type,URL,Location,Total Data (MB),Latency (s),Elapsed Time (s),Average Speed (Mbps)
Upload,http://speedtest.tele2.net/upload.php,IP: 90.130.70.73,0.0,,104.82275748252869,0.0
Upload,http://speedtest.tele2.net/upload.php,IP: 90.130.70.73,0.0,,106.26228785514832,0.0
Upload,http://speedtest.tele2.net/upload.php,IP: 90.130.70.73,0.0,,106.46518635749817,0.0
Upload,http://speedtest.tele2.net/upload.php,IP: 90.130.70.73,0.0,,106.67050051689148,0.0
Upload,http://speedtest.tele2.net/upload.php,IP: 90.130.70.73,0.0,,118.97379112243652,0.0
Upload,http://speedtest.tele2.net/upload.php,IP: 90.130.70.73,0.0,,119.01498508453369,0.0
Upload,http://speedtest.tele2.net/upload.php,IP: 90.130.70.73,0.0,,119.68387818336487,0.0
Upload,http://speedtest.tele2.net/upload.php,IP: 90.130.70.73,0.0,,119.82313632965088,0.0
Upload,http://speedtest.tele2.net/upload.php,IP: 90.130.70.73,0.0,,119.82997274398804,0.0
Upload,http://speedtest.tele2.net/upload.php,IP: 90.130.70.73,0.0,,119.81912231445312,0.0
Upload,http://speedtest.tele2.net/upload.php,IP: 90.130.70.73,0.0,,119.70438981056213,0.0
Upload,http://speedtest.tele2.net/upload.php,IP: 90.130.70.73,0.0,,119.70779514312744,0.0
Upload,http://speedtest.tele2.net/upload.php,IP: 90.130.70.73,0.0,,119.70438981056213,0.0
Upload,http://speedtest.tele2.net/upload.php,IP: 90.130.70.73,0.0,,119.7474479675293,0.0
Upload,http://speedtest.tele2.net/upload.php,IP: 90.130.70.73,0.0,,119.80461382865906,0.0
Upload,http://speedtest.tele2.net/upload.php,IP: 90.130.70.73,0.0,,119.82812905311584,0.0
Upload,http://speedtest.tele2.net/upload.php,IP: 90.130.70.73,0.0,,120.06752347946167,0.0
Upload,http://speedtest.tele2.net/upload.php,IP: 90.130.70.73,0.0,,120.15275454521179,0.0
Upload,http://speedtest.tele2.net/upload.php,IP: 90.130.70.73,0.0,,120.27188920974731,0.0
Upload,http://speedtest.tele2.net/upload.php,IP: 90.130.70.73,0.0,,120.23509955406189,0.0
Upload,http://speedtest.tele2.net/upload.php,IP: 90.130.70.73,0.0,,120.50326943397522,0.0
Upload,http://speedtest.tele2.net/upload.php,IP: 90.130.70.73,0.0,,131.81788849830627,0.0
Upload,http://speedtest.tele2.net/upload.php,IP: 90.130.70.73,0.0,,131.96565461158752,0.0
Upload,http://speedtest.tele2.net/upload.php,IP: 90.130.70.73,0.0,,132.43882250785828,0.0
Upload,http://speedtest.tele2.net/upload.php,IP: 90.130.70.73,0.0,,132.73660397529602,0.0
Upload,http://speedtest.tele2.net/upload.php,IP: 90.130.70.73,0.0,,132.58517360687256,0.0
Upload,http://speedtest.tele2.net/upload.php,IP: 90.130.70.73,0.0,,132.65940690040588,0.0
Upload,http://speedtest.tele2.net/upload.php,IP: 90.130.70.73,0.0,,133.90862822532654,0.0
Upload,http://speedtest.tele2.net/upload.php,IP: 90.130.70.73,0.0,,132.4537172317505,0.0
Upload,http://speedtest.tele2.net/upload.php,IP: 90.130.70.73,0.0,,135.4025523662567,0.0
Upload,http://speedtest.tele2.net/upload.php,IP: 90.130.70.73,0.0,,135.48501658439636,0.0
Upload,http://speedtest.tele2.net/upload.php,IP: 90.130.70.73,0.0,,136.06734490394592,0.0
Upload,http://speedtest.tele2.net/upload.php,IP: 90.130.70.73,0.0,,136.39821362495422,0.0
Upload,http://speedtest.tele2.net/upload.php,IP: 90.130.70.73,0.0,,136.50550961494446,0.0
Upload,http://speedtest.tele2.net/upload.php,IP: 90.130.70.73,0.0,,136.743967294693,0.0
Upload,http://speedtest.tele2.net/upload.php,IP: 90.130.70.73,0.0,,137.32773184776306,0.0
Upload,http://speedtest.tele2.net/upload.php,IP: 90.130.70.73,0.0,,137.34417247772217,0.0
