Timestamp,Type,URL,Server IP,Location,ISP,Network Interface,Total Data (MB),Latency (s),Jitter (s),Elapsed Time (s),Average Speed (Mbps),CPU Usage Before (%),CPU Usage After (%),Memory Usage Before (%),Memory Usage After (%),Error Message
2024-09-21 18:11:32,Upload,https://speedtest6.fybercom.net:8080/speedtest/upload.php,Unknown,United States,"AS11492 CABLE ONE, INC.",vEthernet (Default Switch),0.0,,,15.03291392326355,0.0,0.0,0.0,36.2,54.2,"Cannot connect to host speedtest6.fybercom.net:8080 ssl:True [SSLCertVerificationError: (1, ""[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: Hostname mismatch, certificate is not valid for 'speedtest6.fybercom.net'. (_ssl.c:1006)"")]"
2024-09-21 18:11:32,Download,https://speedtest6.fybercom.net:8080/speedtest/upload.php,Unknown,United States,"AS11492 CABLE ONE, INC.",vEthernet (Default Switch),0.0,,,17.088836431503296,0.0,0.0,0.0,31.4,54.2,"Cannot connect to host speedtest6.fybercom.net:8080 ssl:True [SSLCertVerificationError: (1, ""[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: Hostname mismatch, certificate is not valid for 'speedtest6.fybercom.net'. (_ssl.c:1006)"")]"
2024-09-21 18:11:32,Download,https://speedtest6.fybercom.net:8080/speedtest/upload.php,Unknown,United States,"AS11492 CABLE ONE, INC.",vEthernet (Default Switch),0.0,,,17.068782806396484,0.0,0.0,8.3,31.4,54.2,"Cannot connect to host speedtest6.fybercom.net:8080 ssl:True [SSLCertVerificationError: (1, ""[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: Hostname mismatch, certificate is not valid for 'speedtest6.fybercom.net'. (_ssl.c:1006)"")]"
2024-09-21 18:11:32,Download,https://speedtest6.fybercom.net:8080/speedtest/upload.php,Unknown,United States,"AS11492 CABLE ONE, INC.",vEthernet (Default Switch),0.0,,,16.817453861236572,0.0,0.0,0.0,31.3,54.2,"Cannot connect to host speedtest6.fybercom.net:8080 ssl:True [SSLCertVerificationError: (1, ""[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: Hostname mismatch, certificate is not valid for 'speedtest6.fybercom.net'. (_ssl.c:1006)"")]"
2024-09-21 18:11:32,Download,http://speedtest.ifn.net:8080/speedtest/upload.php,Unknown,United States,"AS11492 CABLE ONE, INC.",vEthernet (Default Switch),0.0,0.10952973365783691,,16.620402812957764,0.0,0.0,0.0,31.3,54.2,HTTP Status 404
2024-09-21 18:11:32,Download,http://ookla.airbridgebroadband.com:8080/speedtest/upload.php,Unknown,United States,"AS11492 CABLE ONE, INC.",vEthernet (Default Switch),0.0,0.11053085327148438,,16.663419008255005,0.0,0.0,0.0,31.3,54.2,HTTP Status 404
2024-09-21 18:11:32,Download,http://speedtest.ifn.net:8080/speedtest/upload.php,Unknown,United States,"AS11492 CABLE ONE, INC.",vEthernet (Default Switch),0.0,0.11152982711791992,,16.690423488616943,0.0,0.0,0.0,31.3,54.2,HTTP Status 404
2024-09-21 18:11:32,Download,http://speedtest4.fybercom.net:8080/speedtest/upload.php,Unknown,United States,"AS11492 CABLE ONE, INC.",vEthernet (Default Switch),0.0,0.4162108898162842,,16.852472066879272,0.0,0.0,0.0,31.3,54.2,HTTP Status 404
2024-09-21 18:11:32,Upload,https://speedtest6.fybercom.net:8080/speedtest/upload.php,Unknown,United States,"AS11492 CABLE ONE, INC.",vEthernet (Default Switch),0.0,,,15.83182406425476,0.0,0.0,0.0,33.9,54.2,"Cannot connect to host speedtest6.fybercom.net:8080 ssl:True [SSLCertVerificationError: (1, ""[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: Hostname mismatch, certificate is not valid for 'speedtest6.fybercom.net'. (_ssl.c:1006)"")]"
2024-09-21 18:11:32,Upload,https://speedtest6.fybercom.net:8080/speedtest/upload.php,Unknown,United States,"AS11492 CABLE ONE, INC.",vEthernet (Default Switch),0.0,,,15.751305341720581,0.0,0.0,0.0,34.2,54.2,"Cannot connect to host speedtest6.fybercom.net:8080 ssl:True [SSLCertVerificationError: (1, ""[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: Hostname mismatch, certificate is not valid for 'speedtest6.fybercom.net'. (_ssl.c:1006)"")]"
2024-09-21 18:11:32,Upload,https://speedtest6.fybercom.net:8080/speedtest/upload.php,Unknown,United States,"AS11492 CABLE ONE, INC.",vEthernet (Default Switch),0.0,,,14.841666221618652,0.0,8.3,0.0,37.1,54.2,"Cannot connect to host speedtest6.fybercom.net:8080 ssl:True [SSLCertVerificationError: (1, ""[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: Hostname mismatch, certificate is not valid for 'speedtest6.fybercom.net'. (_ssl.c:1006)"")]"
2024-09-21 18:11:32,Download,http://speedtest.crunchbits.net:8080/speedtest/upload.php,Unknown,United States,"AS11492 CABLE ONE, INC.",vEthernet (Default Switch),0.0,0.18837618827819824,,16.81099009513855,0.0,0.0,14.3,31.3,54.2,HTTP Status 404
2024-09-21 18:11:32,Download,http://speedtest.crunchbits.net:8080/speedtest/upload.php,Unknown,United States,"AS11492 CABLE ONE, INC.",vEthernet (Default Switch),0.0,0.18737125396728516,,16.970914840698242,0.0,0.0,0.0,31.4,54.2,HTTP Status 404
2024-09-21 18:11:32,Download,http://speedtest.bendtel.com:8080/speedtest/upload.php,Unknown,United States,"AS11492 CABLE ONE, INC.",vEthernet (Default Switch),0.0,0.19338035583496094,,16.86349844932556,0.0,0.0,0.0,31.3,54.2,HTTP Status 404
2024-09-21 18:11:32,Download,http://speedtest.crunchbits.net:8080/speedtest/upload.php,Unknown,United States,"AS11492 CABLE ONE, INC.",vEthernet (Default Switch),0.0,0.1913762092590332,,16.69145154953003,0.0,0.0,0.0,31.3,54.2,HTTP Status 404
2024-09-21 18:11:32,Download,http://speedtest.ifn.net:8080/speedtest/upload.php,Unknown,United States,"AS11492 CABLE ONE, INC.",vEthernet (Default Switch),0.0,0.1883840560913086,,16.846988439559937,0.0,0.0,0.0,31.3,54.2,HTTP Status 404
