Timestamp,Type,URL,Server IP,Location,ISP,Network Interface,Total Data (MB),Latency (s),Jitter (s),Elapsed Time (s),Average Speed (Mbps),CPU Usage Before (%),CPU Usage After (%),Memory Usage Before (%),Memory Usage After (%),Error Message
2024-09-21 18:15:48,Download,http://boi-speedtest.syringanetworks.net:8080/speedtest/upload.php,Unknown,United States,"AS11492 CABLE ONE, INC.",vEthernet (Default Switch),0.0,0.022390127182006836,,14.258241415023804,0.0,0.0,3.9,32.5,32.5,HTTP Status 404
2024-09-21 18:15:48,Download,http://speedtest.vickeryit.com:8080/speedtest/upload.php,Unknown,United States,"AS11492 CABLE ONE, INC.",vEthernet (Default Switch),0.0,0.022401809692382812,,14.260227918624878,0.0,0.0,0.0,32.5,32.5,HTTP Status 404
2024-09-21 18:15:48,Download,http://frld1-speedtest.fmtc.com:8080/speedtest/upload.php,Unknown,United States,"AS11492 CABLE ONE, INC.",vEthernet (Default Switch),0.0,0.04652857780456543,,14.322778463363647,0.0,0.0,6.1,32.5,32.5,HTTP Status 404
2024-09-21 18:15:48,Download,http://speedtest-alb-2.atcnet.net:8080/speedtest/upload.php,Unknown,United States,"AS11492 CABLE ONE, INC.",vEthernet (Default Switch),0.0,0.04852652549743652,,14.3087797164917,0.0,33.3,0.0,32.5,32.5,HTTP Status 404
2024-09-21 18:15:48,Download,https://boise1.cabospeed.com:8080/speedtest/upload.php,Unknown,United States,"AS11492 CABLE ONE, INC.",vEthernet (Default Switch),0.0,0.05258464813232422,,14.452334642410278,0.0,2.2,15.1,32.5,32.8,HTTP Status 404
2024-09-21 18:15:48,Download,http://speedtestnet1.eoni.com:8080/speedtest/upload.php,Unknown,United States,"AS11492 CABLE ONE, INC.",vEthernet (Default Switch),0.0,0.06159019470214844,,14.425355672836304,0.0,0.0,0.0,32.5,32.8,HTTP Status 404
2024-09-21 18:15:48,Download,https://idahofalls1.cabospeed.com:8080/speedtest/upload.php,Unknown,United States,"AS11492 CABLE ONE, INC.",vEthernet (Default Switch),0.0,0.07528901100158691,,14.479312658309937,0.0,0.0,16.7,32.5,32.8,HTTP Status 404
2024-09-21 18:15:48,Download,http://slc.speedtest.safelink.net:8080/speedtest/upload.php,Unknown,United States,"AS11492 CABLE ONE, INC.",vEthernet (Default Switch),0.0,0.08585453033447266,,14.515907287597656,0.0,100.0,12.8,32.5,32.8,HTTP Status 404
2024-09-21 18:15:48,Download,http://speedtest4.fybercom.net:8080/speedtest/upload.php,Unknown,United States,"AS11492 CABLE ONE, INC.",vEthernet (Default Switch),0.0,0.11313223838806152,,14.536888360977173,0.0,14.3,0.0,32.5,32.8,HTTP Status 404
2024-09-21 18:15:48,Upload,https://speedtest6.fybercom.net:8080/speedtest/upload.php,Unknown,United States,"AS11492 CABLE ONE, INC.",vEthernet (Default Switch),0.0,,,14.466052532196045,0.0,8.3,0.0,32.5,32.8,"Cannot connect to host speedtest6.fybercom.net:8080 ssl:True [SSLCertVerificationError: (1, ""[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: Hostname mismatch, certificate is not valid for 'speedtest6.fybercom.net'. (_ssl.c:1006)"")]"
