Type,URL,Location,Total Data (MB),Latency (s),Elapsed Time (s),Average Speed (Mbps)
Download,http://speedtest.tele2.net/10GB.zip,IP: 90.130.70.73,0.0,,59.85343289375305,0.0
Upload,http://speedtest.tele2.net/upload.php,IP: 90.130.70.73,0.0,,60.00907325744629,0.0
Download,http://ipv4.download.thinkbroadband.com/5GB.zip,IP: 80.249.99.148,0.0,,61.49158763885498,0.0
Upload,http://speedtest.tele2.net/upload.php,IP: 90.130.70.73,0.0,,61.33755397796631,0.0
Upload,http://speedtest.tele2.net/upload.php,IP: 90.130.70.73,0.0,,61.37055230140686,0.0
Upload,http://speedtest.tele2.net/upload.php,IP: 90.130.70.73,0.0,,61.37955403327942,0.0
Upload,http://speedtest.tele2.net/upload.php,IP: 90.130.70.73,0.0,,61.34155321121216,0.0
Download,http://ipv4.download.thinkbroadband.com/5GB.zip,IP: 80.249.99.148,0.0,,61.496585845947266,0.0
Upload,http://speedtest.tele2.net/upload.php,IP: 90.130.70.73,0.0,,61.38055467605591,0.0
Upload,http://speedtest.tele2.net/upload.php,IP: 90.130.70.73,0.0,,61.2985475063324,0.0
Upload,http://speedtest.tele2.net/upload.php,IP: 90.130.70.73,0.0,,61.32555532455444,0.0
Download,https://ipv4.download.thinkbroadband.com/10GB.zip,IP: 80.249.99.148,0.0,,61.44807553291321,0.0
Upload,http://speedtest.tele2.net/upload.php,IP: 90.130.70.73,0.0,,61.29954528808594,0.0
Download,http://ipv4.download.thinkbroadband.com/5GB.zip,IP: 80.249.99.148,0.0,,61.49358868598938,0.0
Download,http://ipv4.download.thinkbroadband.com/5GB.zip,IP: 80.249.99.148,0.0,,61.415077686309814,0.0
Upload,http://speedtest.tele2.net/upload.php,IP: 90.130.70.73,0.0,,61.272027254104614,0.0
Download,https://ipv4.download.thinkbroadband.com/10GB.zip,IP: 80.249.99.148,0.0,,61.49358868598938,0.0
Download,http://ipv4.download.thinkbroadband.com/5GB.zip,IP: 80.249.99.148,0.0,,61.46507692337036,0.0
Download,http://speedtest.belwue.net/10G,IP: 129.143.4.238,0.0,0.955113410949707,61.4570746421814,0.0
Upload,http://speedtest.tele2.net/upload.php,IP: 90.130.70.73,0.0,,61.406070709228516,0.0
Download,http://speedtest.tele2.net/10GB.zip,IP: 90.130.70.73,2.0,0.6381232738494873,61.46006393432617,0.27297752273618653
Download,http://speedtest.tele2.net/10GB.zip,IP: 90.130.70.73,2.0,0.5275967121124268,61.487077474594116,0.27285759364530193
Upload,http://speedtest.tele2.net/upload.php,IP: 90.130.70.73,0.0,,61.28102779388428,0.0
Download,http://ipv4.download.thinkbroadband.com/5GB.zip,IP: 80.249.99.148,0.0,,61.43407607078552,0.0
Download,http://speedtest.tele2.net/10GB.zip,IP: 90.130.70.73,0.0,0.9659626483917236,61.41007590293884,0.0
Upload,http://speedtest.tele2.net/upload.php,IP: 90.130.70.73,0.0,,61.24502348899841,0.0
Download,http://speedtest.tele2.net/10GB.zip,IP: 90.130.70.73,2.0,0.8577010631561279,61.41107797622681,0.2731952695325544
Download,http://proof.ovh.net/files/10Gb.dat,IP: 141.95.207.211,0.0,,61.407068729400635,0.0
Download,http://ipv4.download.thinkbroadband.com/5GB.zip,IP: 80.249.99.148,0.0,,61.45807600021362,0.0
Download,http://speedtest.belwue.net/10G,IP: 129.143.4.238,0.0,1.732147216796875,61.456074953079224,0.0
Upload,http://speedtest.tele2.net/upload.php,IP: 90.130.70.73,0.0,,61.344555616378784,0.0
Download,http://ipv4.download.thinkbroadband.com/5GB.zip,IP: 80.249.99.148,0.0,,61.48707342147827,0.0
Upload,http://speedtest.tele2.net/upload.php,IP: 90.130.70.73,0.0,,61.35955286026001,0.0
Download,http://ipv4.download.thinkbroadband.com/5GB.zip,IP: 80.249.99.148,0.0,,61.45107698440552,0.0
Download,http://speedtest.belwue.net/10G,IP: 129.143.4.238,4.0,2.283190965652466,61.457074880599976,0.54598159878566
Upload,http://speedtest.tele2.net/upload.php,IP: 90.130.70.73,0.0,,61.399070262908936,0.0
Download,http://ipv4.download.thinkbroadband.com/5GB.zip,IP: 80.249.99.148,0.0,,61.42907667160034,0.0
Upload,http://speedtest.tele2.net/upload.php,IP: 90.130.70.73,0.0,,61.390554666519165,0.0
Download,http://speedtest.belwue.net/10G,IP: 129.143.4.238,0.0,1.0396084785461426,61.4160737991333,0.0
Upload,http://speedtest.tele2.net/upload.php,IP: 90.130.70.73,0.0,,61.33855199813843,0.0
Download,http://ipv4.download.thinkbroadband.com/5GB.zip,IP: 80.249.99.148,0.0,0.9141826629638672,61.486074924468994,0.0
Upload,http://speedtest.tele2.net/upload.php,IP: 90.130.70.73,0.0,,61.38855457305908,0.0
Download,https://ipv4.download.thinkbroadband.com/10GB.zip,IP: 80.249.99.148,0.0,,61.44407558441162,0.0
Upload,http://speedtest.tele2.net/upload.php,IP: 90.130.70.73,0.0,,61.24802541732788,0.0
Download,http://ipv4.download.thinkbroadband.com/5GB.zip,IP: 80.249.99.148,0.0,,61.41807579994202,0.0
Download,http://ipv4.download.thinkbroadband.com/5GB.zip,IP: 80.249.99.148,0.0,,61.45707607269287,0.0
Upload,http://speedtest.tele2.net/upload.php,IP: 90.130.70.73,0.0,,61.275025844573975,0.0
Download,http://speedtest.tele2.net/10GB.zip,IP: 90.130.70.73,2.0,0.8927111625671387,61.457070112228394,0.27299082057381974
Download,https://ipv4.download.thinkbroadband.com/10GB.zip,IP: 80.249.99.148,0.0,,61.47007203102112,0.0
Download,http://ipv4.download.thinkbroadband.com/5GB.zip,IP: 80.249.99.148,0.0,,61.466071367263794,0.0
Upload,http://speedtest.tele2.net/upload.php,IP: 90.130.70.73,0.0,,61.406068325042725,0.0
Upload,http://speedtest.tele2.net/upload.php,IP: 90.130.70.73,0.0,,61.374552965164185,0.0
Upload,http://speedtest.tele2.net/upload.php,IP: 90.130.70.73,0.0,,61.25902485847473,0.0
Upload,http://speedtest.tele2.net/upload.php,IP: 90.130.70.73,0.0,,61.310542821884155,0.0
Upload,http://speedtest.tele2.net/upload.php,IP: 90.130.70.73,0.0,,61.29954147338867,0.0
Upload,http://speedtest.tele2.net/upload.php,IP: 90.130.70.73,0.0,,61.281025409698486,0.0
Upload,http://speedtest.tele2.net/upload.php,IP: 90.130.70.73,0.0,,61.24202847480774,0.0
Download,http://speedtest.belwue.net/10G,IP: 129.143.4.238,0.0,1.5162792205810547,61.47007417678833,0.0
Upload,http://speedtest.tele2.net/upload.php,IP: 90.130.70.73,0.0,,61.30254530906677,0.0
Download,http://ipv4.download.thinkbroadband.com/5GB.zip,IP: 80.249.99.148,0.0,,61.500587463378906,0.0
Download,http://ipv4.download.thinkbroadband.com/5GB.zip,IP: 80.249.99.148,0.0,,61.500587463378906,0.0
Download,http://ipv4.download.thinkbroadband.com/5GB.zip,IP: 80.249.99.148,0.0,,61.48106265068054,0.0
Download,http://speedtest.tele2.net/10GB.zip,IP: 90.130.70.73,0.0,0.7661705017089844,61.43307590484619,0.0
Download,http://ipv4.download.thinkbroadband.com/5GB.zip,IP: 80.249.99.148,0.0,,61.500587463378906,0.0
Download,http://ipv4.download.thinkbroadband.com/5GB.zip,IP: 80.249.99.148,0.0,,61.50257873535156,0.0
Download,http://ipv4.download.thinkbroadband.com/5GB.zip,IP: 80.249.99.148,0.0,3.860955238342285,61.449076652526855,0.0
Download,http://ipv4.download.thinkbroadband.com/5GB.zip,IP: 80.249.99.148,0.0,,61.4560751914978,0.0
Download,http://ipv4.download.thinkbroadband.com/5GB.zip,IP: 80.249.99.148,0.0,,61.50458264350891,0.0
Upload,http://speedtest.tele2.net/upload.php,IP: 90.130.70.73,0.0,,61.255024909973145,0.0
Upload,http://speedtest.tele2.net/upload.php,IP: 90.130.70.73,0.0,,61.304545640945435,0.0
Upload,http://speedtest.tele2.net/upload.php,IP: 90.130.70.73,0.0,,61.32855534553528,0.0
Upload,http://speedtest.tele2.net/upload.php,IP: 90.130.70.73,0.0,,61.390074253082275,0.0
Download,http://ipv4.download.thinkbroadband.com/5GB.zip,IP: 80.249.99.148,0.0,1.55220627784729,61.75631761550903,0.0
Download,http://ipv4.download.thinkbroadband.com/5GB.zip,IP: 80.249.99.148,0.0,0.960207462310791,61.669806480407715,0.0
Download,http://proof.ovh.net/files/10Gb.dat,IP: 141.95.207.211,0.0,,61.72979402542114,0.0
Download,http://ipv4.download.thinkbroadband.com/5GB.zip,IP: 80.249.99.148,0.0,1.5662176609039307,61.74480128288269,0.0
Upload,http://speedtest.tele2.net/upload.php,IP: 90.130.70.73,0.0,,61.65579915046692,0.0
Download,http://ipv4.download.thinkbroadband.com/5GB.zip,IP: 80.249.99.148,0.0,,61.75380802154541,0.0
Download,http://speedtest.belwue.net/10G,IP: 129.143.4.238,0.0,1.8524682521820068,61.6818106174469,0.0
Download,http://speedtest.belwue.net/10G,IP: 129.143.4.238,0.0,1.7316646575927734,61.727306842803955,0.0
Download,http://ipv4.download.thinkbroadband.com/5GB.zip,IP: 80.249.99.148,2.0,1.0734353065490723,61.717318296432495,0.271839679090039
Download,http://ipv4.download.thinkbroadband.com/5GB.zip,IP: 80.249.99.148,4.0,0.9241838455200195,61.86637806892395,0.5423694266151763
Download,http://proof.ovh.net/files/10Gb.dat,IP: 141.95.207.211,0.0,,61.837411642074585,0.0
Download,http://speedtest.belwue.net/10G,IP: 129.143.4.238,0.0,,61.854421615600586,0.0
Upload,http://speedtest.tele2.net/upload.php,IP: 90.130.70.73,0.0,,61.648385524749756,0.0
Upload,http://speedtest.tele2.net/upload.php,IP: 90.130.70.73,0.0,,61.821927070617676,0.0
Upload,http://speedtest.tele2.net/upload.php,IP: 90.130.70.73,0.0,,61.68942165374756,0.0
Upload,http://speedtest.tele2.net/upload.php,IP: 90.130.70.73,0.0,,61.72502613067627,0.0
Upload,http://speedtest.tele2.net/upload.php,IP: 90.130.70.73,0.0,,61.726956605911255,0.0
Upload,http://speedtest.tele2.net/upload.php,IP: 90.130.70.73,0.0,,61.70146036148071,0.0
Download,http://ipv4.download.thinkbroadband.com/5GB.zip,IP: 80.249.99.148,2.0,1.0672345161437988,61.958017349243164,0.2707836163547757
Upload,http://speedtest.tele2.net/upload.php,IP: 90.130.70.73,0.0,,61.72598743438721,0.0
