timestamp,server,location,ip_address,download_speed_mbps,total_data_received_mb,upload_speed_mbps,total_data_sent_mb,latency_ms,jitter_ms,packet_loss_percent
2024-09-21 15:57:39,Summary,Summary,N/A,0.0,0.0,0.0,0.0,68.536,14.163101002252297,0.0
2024-09-21 15:57:40,Summary,Summary,N/A,0.0,0.0,0.0,0.0,68.536,14.163101002252297,0.0
2024-09-21 15:57:41,Summary,Summary,N/A,0.0,0.0,0.0,0.0,103.732,11.276978667594978,0.0
2024-09-21 15:57:42,Summary,Summary,N/A,0.0,0.0,0.0,0.0,103.732,11.276978667594978,0.0
2024-09-21 15:57:43,Summary,Summary,N/A,0.0,0.0,0.0,0.0,143.858,13.224268378400888,0.0
2024-09-21 15:57:44,Summary,Summary,N/A,0.0,0.0,0.0,0.0,143.858,13.224268378400888,0.0
2024-09-21 15:57:45,Summary,Summary,N/A,0.0,0.0,0.0,0.0,187.1355,15.780174714310228,0.0
2024-09-21 15:57:46,Summary,Summary,N/A,0.0,0.0,0.0,0.0,187.1355,15.780174714310228,0.0
2024-09-21 15:57:47,Summary,Summary,N/A,0.0,0.0,0.0,0.0,198.086,18.657436946293792,0.0
2024-09-21 15:57:48,Summary,Summary,N/A,0.0,0.0,0.0,0.0,198.086,18.657436946293792,0.0
2024-09-21 15:57:49,Summary,Summary,N/A,0.0,0.0,0.0,0.0,192.55966666666666,17.87300073677475,0.0
2024-09-21 15:57:50,Summary,Summary,N/A,0.0,0.0,0.0,0.0,192.55966666666666,17.87300073677475,0.0
2024-09-21 15:57:51,Summary,Summary,N/A,0.0,0.0,0.0,0.0,180.61314285714286,16.790646733521783,0.0
2024-09-21 15:57:52,Summary,Summary,N/A,0.0,0.0,0.0,0.0,169.074,16.356664092494313,0.0
2024-09-21 15:57:53,Summary,Summary,N/A,0.0,0.0,0.0,0.0,169.074,16.356664092494313,0.0
2024-09-21 15:57:54,Summary,Summary,N/A,0.0,0.0,0.0,0.0,158.17111111111112,14.886941019533452,0.0
2024-09-21 15:57:55,Summary,Summary,N/A,0.0,0.0,0.0,0.0,146.6864,14.026207346269686,0.0
2024-09-21 15:57:56,Summary,Summary,N/A,0.0,0.0,0.0,0.0,137.5878181818182,12.915576981590164,0.0
2024-09-21 15:57:57,Summary,Summary,N/A,0.0,0.0,0.0,0.0,129.81383333333332,12.26493321636985,0.0
2024-09-21 15:57:58,Summary,Summary,N/A,0.0,0.0,0.0,0.0,129.81383333333332,12.26493321636985,0.0
2024-09-21 15:57:59,Summary,Summary,N/A,0.0,0.0,0.0,0.0,123.24476923076924,12.242652035675235,0.0
2024-09-21 15:58:00,Summary,Summary,N/A,0.0,0.0,0.0,0.0,117.37242857142857,11.733614634486246,0.0
2024-09-21 15:58:01,Summary,Summary,N/A,0.0,0.0,0.0,0.0,112.19653333333333,11.285943233083167,0.0
2024-09-21 15:58:02,Summary,Summary,N/A,0.0,0.0,0.0,0.0,108.938875,11.074050266488747,0.0
2024-09-21 15:58:03,Summary,Summary,N/A,0.0,0.0,0.0,0.0,104.92941176470588,10.5660512424108,0.0
2024-09-21 15:58:04,Summary,Summary,N/A,0.0,0.0,0.0,0.0,104.92941176470588,10.5660512424108,0.0
2024-09-21 15:58:05,Summary,Summary,N/A,0.0,0.0,0.0,0.0,101.21366666666667,10.235662627868528,0.0
2024-09-21 15:58:06,Summary,Summary,N/A,0.0,0.0,0.0,0.0,97.98505263157895,10.205038266930119,0.0
2024-09-21 15:58:07,Summary,Summary,N/A,0.0,0.0,0.0,0.0,95.506,10.307229779542288,0.0
2024-09-21 15:58:08,Summary,Summary,N/A,0.0,0.0,0.0,0.0,92.5187619047619,9.884335844789058,0.0
2024-09-21 15:58:09,Summary,Summary,N/A,0.0,0.0,0.0,0.0,90.10863636363636,9.508407742477328,0.0
2024-09-21 15:58:10,Summary,Summary,N/A,0.0,0.0,0.0,0.0,90.10863636363636,9.508407742477328,0.0
2024-09-21 15:58:11,Summary,Summary,N/A,0.0,0.0,0.0,0.0,87.44069565217391,9.225297770017901,0.0
2024-09-21 15:58:12,Summary,Summary,N/A,0.0,0.0,0.0,0.0,85.35225,9.236714024102392,0.0
2024-09-21 15:58:13,Summary,Summary,N/A,0.0,0.0,0.0,0.0,85.35225,9.236714024102392,0.0
2024-09-21 15:58:14,Summary,Summary,N/A,0.0,0.0,0.0,0.0,85.35225,9.236714024102392,0.0
